Location,Area (sqm),Property Type,Bedrooms,Bathrooms,Building Age (years),Furnishing Status,Floor Level,Amenities,Nearby Facility,Price 2023 (EGP),Price 2024 (EGP),Price 2025 (EGP)
New Cairo,290,Villa,3,1,2,Furnished,9,Gym,Mall,"4,959,298","5,841,776","6,958,699"
6th of October,385,Apartment,1,1,15,Unfurnished,4,Swimming Pool,Hospital,"4,464,074","5,928,678","7,334,088"
Nasr City,204,Villa,3,3,4,Furnished,6,Swimming Pool,Mall,"2,678,832","3,056,903","3,708,458"
New Cairo,87,Apartment,3,3,15,Semi-Furnished,15,Gym,Mall,"1,061,787","1,338,481","1,610,528"
6th of October,125,Villa,2,3,2,Semi-Furnished,0,Garden,Hospital,"1,205,176","1,403,501","1,630,222"
6th of October,222,Apartment,2,1,19,Furnished,11,Garden,Mall,"2,513,238","2,773,700","3,357,741"
Nasr City,288,Apartment,1,1,14,Unfurnished,1,None,School,"2,516,355","2,950,075","3,427,162"
New Cairo,320,Apartment,3,3,29,Semi-Furnished,6,Gym,Metro Station,"4,981,049","6,937,417","8,211,964"
Nasr City,223,Villa,1,2,2,Unfurnished,10,Gym,Metro Station,"2,064,069","2,766,804","3,221,347"
New Cairo,360,Villa,4,3,19,Semi-Furnished,12,None,Hospital,"5,720,069","7,938,730","9,678,958"
Sheikh Zayed,362,Apartment,1,3,13,Furnished,1,Swimming Pool,Mall,"4,761,894","5,935,016","6,947,680"
Maadi,346,Villa,5,3,15,Unfurnished,6,Swimming Pool,Mall,"4,156,795","4,709,320","5,600,257"
Maadi,69,Apartment,1,3,28,Unfurnished,14,Garden,Hospital,"647,573","818,784","1,014,938"
Maadi,254,Apartment,5,1,28,Unfurnished,10,Gym,Metro Station,"2,778,419","3,434,997","4,020,429"
Nasr City,177,Villa,5,2,16,Semi-Furnished,1,Swimming Pool,School,"2,341,637","3,168,954","3,805,218"
Sheikh Zayed,329,Villa,5,3,27,Semi-Furnished,6,Garden,Mall,"3,452,793","3,899,671","4,648,123"
New Cairo,139,Villa,4,2,23,Semi-Furnished,3,Garden,Hospital,"2,156,208","2,687,654","3,095,673"
6th of October,152,Apartment,1,2,19,Furnished,10,Garden,School,"1,862,514","2,132,606","2,621,561"
New Cairo,325,Apartment,1,2,22,Semi-Furnished,1,Swimming Pool,Hospital,"4,955,768","5,934,050","6,865,130"
6th of October,391,Villa,4,3,17,Furnished,15,Swimming Pool,Hospital,"3,370,553","4,453,198","5,332,373"
New Cairo,316,Apartment,3,1,17,Unfurnished,6,Gym,Hospital,"5,487,639","6,820,067","8,225,464"
Sheikh Zayed,192,Villa,2,3,21,Unfurnished,12,Gym,Metro Station,"2,199,332","2,667,276","3,234,986"
6th of October,335,Apartment,1,2,13,Furnished,4,Garden,Metro Station,"2,461,699","2,999,194","3,655,607"
Nasr City,323,Villa,2,2,17,Semi-Furnished,16,Garden,Hospital,"3,014,985","3,732,051","4,386,381"
New Cairo,230,Villa,4,1,14,Furnished,11,Swimming Pool,Mall,"4,359,624","5,822,299","6,701,454"
New Cairo,60,Apartment,3,3,14,Unfurnished,18,Swimming Pool,School,"1,228,873","1,680,639","2,054,319"
6th of October,372,Villa,3,2,5,Unfurnished,6,Gym,Mall,"4,127,182","5,722,752","6,887,708"
Nasr City,123,Villa,3,1,26,Furnished,5,Gym,Metro Station,"1,125,795","1,504,142","1,855,527"
Nasr City,343,Apartment,4,2,14,Semi-Furnished,7,None,School,"4,113,928","4,914,589","6,055,456"
Sheikh Zayed,180,Villa,5,1,17,Semi-Furnished,12,Gym,Hospital,"2,564,880","3,350,863","4,136,080"
Nasr City,166,Apartment,5,1,3,Furnished,4,Swimming Pool,Mall,"1,768,993","2,178,128","2,610,507"
Nasr City,234,Villa,2,3,22,Furnished,1,Garden,Mall,"2,858,141","3,362,320","3,978,845"
Nasr City,263,Apartment,5,2,7,Semi-Furnished,8,None,Hospital,"3,312,727","4,479,673","5,506,216"
Maadi,224,Villa,5,3,14,Unfurnished,10,Gym,Mall,"3,647,759","4,054,586","4,845,756"
Sheikh Zayed,364,Villa,3,2,2,Furnished,5,Gym,Metro Station,"4,255,173","5,831,836","6,813,592"
New Cairo,179,Villa,3,3,29,Semi-Furnished,6,Swimming Pool,Hospital,"2,698,007","3,341,329","4,128,204"
6th of October,103,Villa,2,2,14,Semi-Furnished,6,None,Mall,"810,395","1,046,351","1,295,650"
New Cairo,371,Apartment,1,3,12,Unfurnished,18,Gym,Hospital,"5,664,313","7,351,181","8,796,651"
Sheikh Zayed,215,Apartment,2,1,8,Unfurnished,5,Garden,School,"2,023,445","2,769,157","3,205,493"
6th of October,266,Apartment,2,2,1,Unfurnished,10,Swimming Pool,Hospital,"2,639,865","3,408,069","4,051,453"
Sheikh Zayed,167,Apartment,4,2,23,Unfurnished,10,None,Mall,"2,218,863","2,849,419","3,505,794"
Nasr City,310,Apartment,4,1,7,Unfurnished,6,Gym,Metro Station,"2,798,210","3,133,983","3,886,696"
6th of October,393,Apartment,2,3,28,Furnished,1,Gym,Hospital,"3,773,501","4,737,715","5,544,772"
Nasr City,189,Apartment,2,2,29,Semi-Furnished,18,None,Hospital,"1,501,167","1,718,912","1,988,261"
New Cairo,352,Villa,2,2,19,Furnished,3,Swimming Pool,Mall,"4,592,873","6,068,243","7,510,877"
New Cairo,79,Villa,5,3,16,Furnished,5,None,Metro Station,"1,407,441","1,764,462","2,097,840"
6th of October,341,Villa,4,1,12,Furnished,16,None,Metro Station,"2,338,564","3,049,647","3,672,313"
6th of October,344,Villa,2,3,0,Furnished,4,Swimming Pool,School,"2,677,522","2,978,748","3,713,922"
Sheikh Zayed,60,Apartment,3,3,1,Furnished,6,Gym,School,"556,266","626,042","724,116"
Sheikh Zayed,178,Apartment,3,3,29,Unfurnished,8,Garden,Mall,"1,758,462","2,312,197","2,808,930"
Nasr City,94,Apartment,5,2,14,Unfurnished,0,Swimming Pool,Metro Station,"930,192","1,043,327","1,207,558"
6th of October,257,Villa,5,1,11,Semi-Furnished,0,Garden,Metro Station,"2,192,424","2,458,534","2,919,625"
New Cairo,304,Apartment,1,1,13,Furnished,18,Gym,School,"3,561,235","3,930,295","4,835,762"
Sheikh Zayed,118,Villa,1,3,24,Semi-Furnished,5,None,School,"879,492","1,219,812","1,455,659"
Sheikh Zayed,384,Apartment,1,2,28,Unfurnished,17,Garden,Mall,"3,728,668","4,926,513","6,156,753"
New Cairo,220,Apartment,5,3,1,Unfurnished,9,Gym,Metro Station,"3,709,935","4,474,090","5,395,332"
Sheikh Zayed,238,Apartment,5,2,17,Unfurnished,10,Gym,Hospital,"2,754,769","3,275,312","3,871,800"
Nasr City,265,Apartment,5,2,21,Furnished,0,None,School,"3,329,657","4,011,940","4,702,039"
6th of October,71,Villa,3,2,6,Furnished,0,None,Mall,"729,363","971,801","1,151,634"
New Cairo,335,Villa,5,2,28,Unfurnished,12,Gym,Metro Station,"4,589,820","5,959,474","7,075,406"
6th of October,240,Apartment,3,1,22,Semi-Furnished,4,Gym,Metro Station,"1,884,685","2,177,864","2,519,509"
Sheikh Zayed,301,Villa,1,2,28,Semi-Furnished,19,Garden,School,"4,017,012","4,628,533","5,493,872"
Sheikh Zayed,275,Apartment,1,2,24,Unfurnished,0,Gym,Mall,"2,808,162","3,171,872","3,794,903"
New Cairo,310,Apartment,1,3,5,Semi-Furnished,19,Gym,Hospital,"5,269,930","6,840,847","8,361,388"
Nasr City,358,Apartment,2,3,13,Unfurnished,2,Garden,School,"3,097,985","4,118,188","5,006,370"
Maadi,185,Apartment,2,1,7,Semi-Furnished,17,Swimming Pool,Mall,"1,793,488","2,115,444","2,582,697"
New Cairo,276,Villa,4,3,26,Unfurnished,8,Garden,Metro Station,"5,466,923","6,047,967","6,960,220"
Maadi,365,Apartment,4,2,21,Semi-Furnished,13,Garden,Hospital,"5,858,090","6,588,310","7,719,962"
Maadi,344,Apartment,4,3,1,Furnished,16,None,Mall,"4,194,906","5,832,421","7,093,207"
Nasr City,244,Villa,2,1,16,Unfurnished,13,Garden,Hospital,"2,115,907","2,515,038","3,014,019"
Maadi,98,Apartment,2,3,4,Unfurnished,3,Gym,Mall,"1,069,842","1,423,710","1,638,023"
Maadi,282,Villa,4,3,13,Semi-Furnished,4,Gym,Mall,"2,917,637","3,756,163","4,621,769"
Nasr City,243,Apartment,4,1,24,Unfurnished,16,Gym,Mall,"2,615,221","3,176,401","3,898,336"
Maadi,237,Apartment,5,1,23,Unfurnished,1,Swimming Pool,Mall,"2,856,339","3,318,227","3,997,939"
Maadi,353,Apartment,4,2,29,Unfurnished,4,Gym,Hospital,"3,816,447","4,337,071","5,016,458"
Maadi,399,Apartment,5,3,28,Furnished,3,Swimming Pool,School,"6,067,651","7,793,922","9,560,426"
New Cairo,210,Apartment,3,2,19,Furnished,3,Gym,Hospital,"3,267,527","4,353,621","5,260,792"
New Cairo,185,Apartment,2,3,20,Semi-Furnished,5,Garden,Mall,"2,857,777","3,695,595","4,538,915"
New Cairo,360,Villa,4,3,28,Furnished,19,None,Hospital,"6,870,968","8,651,172","10,599,197"
Nasr City,367,Apartment,2,2,20,Semi-Furnished,12,Gym,Hospital,"3,510,805","3,906,070","4,805,639"
Sheikh Zayed,395,Villa,2,3,21,Furnished,4,Swimming Pool,Hospital,"4,316,046","6,001,664","7,212,805"
Maadi,293,Villa,2,3,2,Semi-Furnished,6,Swimming Pool,Mall,"3,956,093","5,299,639","6,168,952"
Maadi,67,Apartment,3,3,4,Furnished,19,None,Hospital,"731,578","869,002","1,057,676"
Nasr City,188,Villa,1,1,15,Furnished,0,Gym,Metro Station,"1,514,982","2,111,872","2,559,689"
Maadi,323,Apartment,4,2,17,Semi-Furnished,13,Garden,Mall,"4,051,810","5,188,604","6,352,021"
New Cairo,216,Villa,1,1,25,Unfurnished,3,Gym,Hospital,"2,842,581","3,623,515","4,228,599"
Sheikh Zayed,64,Apartment,1,2,16,Unfurnished,16,Gym,Metro Station,"518,226","686,350","802,685"
6th of October,145,Villa,1,2,10,Furnished,13,None,Hospital,"1,106,560","1,486,698","1,842,080"
Maadi,234,Villa,2,3,16,Semi-Furnished,15,Gym,School,"2,471,185","3,204,988","3,926,103"
New Cairo,349,Apartment,5,2,15,Unfurnished,13,Garden,Hospital,"5,605,873","6,381,887","7,918,792"
6th of October,252,Villa,2,1,25,Semi-Furnished,15,Swimming Pool,Hospital,"2,642,975","3,175,482","3,892,733"
Sheikh Zayed,370,Apartment,2,1,22,Unfurnished,19,None,School,"4,646,982","6,405,517","7,748,854"
6th of October,178,Apartment,1,1,1,Semi-Furnished,7,Garden,Mall,"1,329,298","1,551,803","1,886,082"
New Cairo,277,Apartment,2,2,3,Furnished,2,Swimming Pool,School,"3,947,113","4,782,520","5,925,125"
6th of October,173,Apartment,1,1,20,Semi-Furnished,18,None,Mall,"1,387,144","1,705,664","2,060,239"
Nasr City,204,Apartment,5,2,6,Unfurnished,0,None,School,"1,847,249","2,275,481","2,760,702"
6th of October,85,Villa,4,1,1,Furnished,1,Swimming Pool,Hospital,"857,917","1,101,465","1,283,920"
Maadi,195,Villa,1,1,29,Semi-Furnished,14,Swimming Pool,Hospital,"2,087,546","2,886,915","3,456,769"
Maadi,362,Villa,5,2,5,Unfurnished,9,Garden,Mall,"4,356,644","5,106,893","6,238,783"
Nasr City,291,Apartment,4,1,16,Furnished,17,Gym,Mall,"2,952,687","3,355,583","3,949,837"
New Cairo,135,Villa,3,3,6,Semi-Furnished,13,Gym,Metro Station,"1,696,995","1,967,226","2,302,098"
Maadi,387,Villa,1,2,24,Unfurnished,16,Gym,Metro Station,"3,931,876","5,371,247","6,345,499"
Sheikh Zayed,361,Villa,1,2,4,Semi-Furnished,12,Gym,Hospital,"4,708,482","6,091,566","7,152,413"
Maadi,348,Villa,3,2,4,Semi-Furnished,0,Gym,Hospital,"3,839,384","4,552,634","5,333,371"
Maadi,60,Villa,3,3,19,Furnished,4,Garden,Metro Station,"890,247","1,197,190","1,427,631"
New Cairo,206,Apartment,1,2,15,Furnished,12,None,Metro Station,"3,303,516","4,487,533","5,568,059"
6th of October,346,Apartment,3,1,18,Unfurnished,13,Garden,Mall,"2,786,719","3,773,090","4,530,372"
Maadi,201,Villa,2,1,8,Furnished,2,Garden,School,"1,741,668","2,395,974","2,800,396"
Nasr City,112,Apartment,4,1,4,Unfurnished,14,Garden,Mall,"1,295,092","1,522,604","1,762,714"
6th of October,363,Apartment,4,2,7,Semi-Furnished,18,None,Metro Station,"2,318,401","3,075,388","3,750,791"
Sheikh Zayed,128,Villa,4,1,8,Semi-Furnished,16,Garden,Hospital,"1,231,148","1,524,360","1,811,367"
New Cairo,149,Villa,2,2,4,Unfurnished,2,Garden,Metro Station,"2,677,645","3,621,782","4,462,699"
Sheikh Zayed,279,Apartment,3,1,9,Semi-Furnished,15,None,Hospital,"3,426,341","4,517,793","5,493,416"
6th of October,251,Villa,5,3,24,Furnished,13,Garden,Hospital,"1,769,550","2,358,694","2,900,307"
6th of October,122,Apartment,3,3,1,Semi-Furnished,11,Gym,Hospital,"960,971","1,246,233","1,467,059"
6th of October,132,Apartment,1,3,8,Furnished,11,Swimming Pool,Hospital,"1,309,593","1,510,260","1,841,363"
Sheikh Zayed,220,Villa,4,3,10,Unfurnished,10,Garden,School,"2,768,759","3,498,349","4,115,480"
6th of October,228,Apartment,3,2,3,Unfurnished,16,Swimming Pool,Metro Station,"2,168,384","3,025,765","3,763,770"
Sheikh Zayed,148,Apartment,5,1,21,Semi-Furnished,7,Garden,Mall,"1,625,448","2,245,095","2,724,731"
6th of October,235,Apartment,1,3,21,Semi-Furnished,16,Garden,Hospital,"2,448,229","2,724,762","3,221,898"
Nasr City,328,Villa,2,2,21,Furnished,19,Gym,Hospital,"4,014,145","4,614,037","5,430,496"
6th of October,132,Villa,2,3,1,Furnished,10,None,Mall,"1,194,897","1,361,607","1,591,845"
Sheikh Zayed,304,Villa,5,3,22,Semi-Furnished,1,Swimming Pool,Mall,"2,302,798","3,034,613","3,700,602"
Maadi,136,Villa,1,2,28,Semi-Furnished,9,None,Hospital,"1,523,877","2,050,126","2,402,485"
6th of October,218,Apartment,4,2,5,Unfurnished,9,Gym,Mall,"1,579,484","1,838,603","2,223,846"
Maadi,383,Villa,3,1,26,Unfurnished,10,Gym,Mall,"3,949,190","4,943,421","5,815,755"
Nasr City,157,Villa,1,1,13,Unfurnished,5,Swimming Pool,School,"1,788,673","2,418,663","2,941,571"
New Cairo,161,Villa,2,3,0,Semi-Furnished,3,None,Mall,"2,338,996","3,087,102","3,801,747"
Nasr City,191,Villa,5,3,17,Semi-Furnished,11,Gym,Metro Station,"1,457,554","1,840,411","2,259,661"
6th of October,161,Apartment,5,1,6,Semi-Furnished,10,Garden,Metro Station,"1,338,553","1,709,471","2,095,958"
Maadi,78,Apartment,3,1,0,Unfurnished,12,Garden,Metro Station,"660,024","826,686","966,207"
Maadi,141,Apartment,5,2,0,Semi-Furnished,4,Garden,Hospital,"2,275,472","2,706,139","3,135,978"
Sheikh Zayed,338,Villa,5,1,0,Furnished,5,None,Metro Station,"3,685,525","4,678,798","5,707,642"
Maadi,398,Villa,1,1,23,Semi-Furnished,0,Garden,School,"4,232,102","5,529,942","6,563,127"
Sheikh Zayed,390,Apartment,4,3,3,Semi-Furnished,5,Garden,Metro Station,"3,789,151","5,160,813","6,158,060"
New Cairo,188,Villa,3,1,3,Semi-Furnished,17,Gym,Hospital,"3,415,140","4,408,561","5,083,577"
6th of October,369,Villa,1,3,28,Semi-Furnished,8,Gym,School,"4,300,630","5,712,684","6,717,875"
Sheikh Zayed,148,Apartment,4,1,17,Semi-Furnished,14,Garden,Metro Station,"1,898,486","2,179,503","2,513,769"
New Cairo,272,Apartment,1,2,26,Furnished,7,Garden,School,"4,280,872","5,301,719","6,563,097"
Maadi,202,Villa,1,1,10,Furnished,18,Gym,School,"1,832,529","2,020,913","2,373,238"
Maadi,124,Villa,5,1,26,Semi-Furnished,15,Swimming Pool,Hospital,"1,337,504","1,570,235","1,893,285"
New Cairo,135,Villa,4,1,0,Unfurnished,5,None,Hospital,"2,423,789","3,194,405","3,686,018"
Maadi,258,Apartment,3,3,27,Semi-Furnished,5,None,School,"2,911,818","4,069,391","4,951,166"
New Cairo,202,Apartment,3,2,9,Semi-Furnished,2,Gym,Metro Station,"3,818,428","4,313,882","5,100,314"
Sheikh Zayed,375,Apartment,4,1,8,Semi-Furnished,9,None,Hospital,"3,640,643","4,443,217","5,508,665"
Sheikh Zayed,152,Apartment,5,3,22,Unfurnished,0,Gym,School,"1,754,085","2,350,511","2,911,841"
New Cairo,364,Villa,2,2,3,Unfurnished,13,Gym,Mall,"6,159,773","7,152,794","8,458,387"
Sheikh Zayed,283,Apartment,1,3,27,Unfurnished,3,Gym,Mall,"2,482,259","3,143,845","3,898,670"
Sheikh Zayed,350,Apartment,5,3,5,Furnished,11,Gym,Hospital,"4,561,243","6,020,482","7,523,289"
Sheikh Zayed,161,Villa,4,2,29,Unfurnished,5,Swimming Pool,Metro Station,"1,940,450","2,493,082","3,072,827"
Nasr City,326,Villa,1,1,15,Furnished,10,Garden,Mall,"2,762,430","3,194,495","3,943,563"
6th of October,169,Villa,3,3,1,Furnished,11,Garden,Mall,"1,902,258","2,295,294","2,696,743"
Maadi,389,Apartment,2,3,22,Unfurnished,9,Swimming Pool,Mall,"4,137,314","5,523,884","6,671,030"
Nasr City,324,Villa,3,1,17,Unfurnished,17,None,Metro Station,"2,520,819","3,192,033","3,692,306"
Sheikh Zayed,62,Villa,4,1,9,Unfurnished,6,None,Metro Station,"637,442","702,186","814,179"
New Cairo,144,Apartment,1,2,23,Furnished,6,Garden,Hospital,"1,814,754","2,410,533","3,012,900"
Sheikh Zayed,341,Apartment,4,2,23,Semi-Furnished,10,None,Hospital,"3,896,625","4,327,566","5,118,057"
6th of October,387,Villa,1,2,16,Unfurnished,3,Garden,Mall,"2,656,002","3,515,804","4,306,221"
Sheikh Zayed,363,Apartment,5,1,12,Unfurnished,19,Garden,Metro Station,"4,803,485","5,575,618","6,861,726"
New Cairo,176,Villa,2,3,23,Unfurnished,0,Swimming Pool,School,"2,106,059","2,921,993","3,611,006"
6th of October,280,Villa,5,3,17,Furnished,12,None,Mall,"2,190,467","2,651,303","3,313,500"
Sheikh Zayed,213,Apartment,5,2,21,Furnished,17,Swimming Pool,Hospital,"2,235,675","2,678,516","3,144,979"
6th of October,212,Villa,4,1,12,Semi-Furnished,8,Garden,Metro Station,"1,314,720","1,504,916","1,736,726"
Maadi,71,Apartment,2,3,16,Unfurnished,8,Garden,Hospital,"728,872","868,583","1,034,586"
Maadi,192,Apartment,1,2,4,Furnished,8,Garden,Hospital,"3,150,052","4,293,507","4,993,383"
Sheikh Zayed,363,Apartment,1,3,10,Semi-Furnished,9,Gym,Metro Station,"4,979,247","6,965,471","8,025,912"
6th of October,352,Villa,3,3,6,Unfurnished,1,Gym,Mall,"3,613,426","4,374,026","5,187,782"
New Cairo,359,Apartment,1,1,28,Furnished,5,Gym,Metro Station,"4,856,164","5,995,338","7,364,517"
Sheikh Zayed,287,Apartment,4,1,9,Unfurnished,14,Swimming Pool,Mall,"3,505,129","4,614,928","5,568,455"
Maadi,330,Villa,5,3,16,Unfurnished,2,Garden,Hospital,"2,917,793","3,985,293","4,707,738"
Maadi,102,Villa,5,2,14,Furnished,10,None,Metro Station,"1,009,255","1,289,740","1,567,594"
Sheikh Zayed,385,Villa,5,1,17,Furnished,5,Swimming Pool,School,"4,737,477","5,767,678","6,766,651"
6th of October,361,Villa,2,3,22,Furnished,2,Swimming Pool,Mall,"3,398,489","4,159,025","4,788,860"
Maadi,80,Apartment,1,1,21,Unfurnished,10,Swimming Pool,School,"1,279,581","1,674,570","2,053,752"
6th of October,166,Apartment,4,1,18,Unfurnished,14,None,Mall,"1,353,891","1,490,588","1,807,150"
Maadi,395,Apartment,2,1,29,Semi-Furnished,12,Garden,Metro Station,"4,755,688","6,115,229","7,498,680"
Maadi,362,Villa,3,3,25,Unfurnished,19,Gym,School,"4,548,641","5,488,608","6,333,270"
Nasr City,176,Villa,4,2,1,Furnished,9,Garden,Metro Station,"1,482,536","1,984,018","2,447,707"
Maadi,183,Apartment,4,2,25,Unfurnished,5,Garden,Mall,"1,844,916","2,080,875","2,521,923"
New Cairo,340,Villa,4,2,3,Semi-Furnished,14,Swimming Pool,Mall,"4,529,127","5,781,253","6,974,154"
Sheikh Zayed,351,Villa,5,1,2,Semi-Furnished,17,Swimming Pool,Mall,"5,217,329","6,491,880","7,871,154"
Sheikh Zayed,262,Apartment,4,3,6,Furnished,17,Swimming Pool,Mall,"2,552,129","3,299,131","4,079,189"
6th of October,110,Apartment,1,1,23,Furnished,6,Gym,Hospital,"892,567","999,190","1,207,715"
Maadi,330,Villa,4,2,17,Semi-Furnished,14,Gym,Mall,"4,072,714","5,188,618","6,268,344"
New Cairo,383,Villa,5,2,9,Semi-Furnished,17,Gym,School,"5,744,532","7,286,625","9,101,489"
6th of October,336,Villa,4,3,6,Semi-Furnished,17,Garden,Mall,"3,263,375","4,138,606","5,072,578"
Nasr City,200,Apartment,3,1,7,Furnished,19,Swimming Pool,Metro Station,"1,812,974","2,322,504","2,773,603"
6th of October,334,Apartment,3,2,5,Semi-Furnished,8,None,Hospital,"2,169,761","2,827,070","3,451,116"
6th of October,349,Apartment,5,3,21,Semi-Furnished,1,Garden,School,"2,916,606","3,912,617","4,651,801"
Maadi,393,Apartment,1,1,25,Furnished,7,Gym,Hospital,"3,841,724","4,536,870","5,321,238"
Nasr City,111,Apartment,1,1,0,Unfurnished,19,None,Hospital,"1,195,679","1,611,195","1,949,039"
6th of October,86,Villa,2,2,3,Unfurnished,1,None,Hospital,"909,644","1,136,580","1,412,562"
New Cairo,216,Villa,5,2,13,Semi-Furnished,10,Swimming Pool,Metro Station,"2,232,940","2,507,854","3,117,047"
New Cairo,298,Villa,4,1,16,Unfurnished,6,None,Hospital,"4,431,726","4,952,743","5,864,991"
Sheikh Zayed,215,Apartment,5,1,19,Unfurnished,5,Gym,Hospital,"2,276,423","2,732,326","3,286,354"
Nasr City,350,Apartment,2,2,17,Unfurnished,9,Swimming Pool,Mall,"3,458,689","4,618,972","5,409,572"
Nasr City,195,Apartment,5,1,10,Unfurnished,4,None,Metro Station,"1,895,426","2,487,376","3,108,133"
Sheikh Zayed,203,Villa,5,2,28,Semi-Furnished,10,Swimming Pool,School,"2,145,297","2,867,371","3,578,800"
6th of October,165,Apartment,2,1,20,Unfurnished,0,None,School,"1,506,213","1,890,570","2,296,950"
Nasr City,217,Apartment,1,2,25,Unfurnished,1,Garden,School,"2,895,279","3,567,156","4,389,177"
New Cairo,205,Villa,4,3,13,Furnished,0,Garden,Metro Station,"3,911,671","4,475,874","5,467,325"
New Cairo,61,Apartment,2,2,8,Semi-Furnished,18,Gym,School,"794,225","951,846","1,151,082"
Maadi,136,Villa,3,2,26,Furnished,1,Garden,Metro Station,"1,326,358","1,631,694","1,885,153"
Nasr City,191,Apartment,1,3,14,Furnished,19,Garden,Mall,"1,998,675","2,251,667","2,691,815"
6th of October,149,Apartment,3,1,11,Semi-Furnished,3,Garden,Mall,"1,137,685","1,326,750","1,615,290"
Sheikh Zayed,322,Villa,1,3,9,Unfurnished,11,None,Metro Station,"3,672,595","4,698,966","5,722,181"
Sheikh Zayed,167,Villa,4,2,18,Furnished,19,None,School,"2,413,380","3,187,349","3,784,378"
6th of October,133,Villa,4,1,23,Semi-Furnished,17,Swimming Pool,Metro Station,"931,946","1,304,263","1,622,724"
Maadi,98,Villa,5,3,18,Unfurnished,0,None,Metro Station,"1,402,429","1,935,259","2,257,936"
Sheikh Zayed,218,Villa,3,1,5,Semi-Furnished,0,Garden,Hospital,"1,601,968","2,070,975","2,485,245"
Nasr City,130,Villa,1,1,19,Furnished,13,None,Metro Station,"1,366,780","1,676,184","2,043,416"
Maadi,371,Apartment,4,3,23,Unfurnished,3,Gym,Hospital,"3,586,032","4,629,041","5,646,104"
Nasr City,300,Apartment,2,1,26,Unfurnished,4,Swimming Pool,Mall,"2,488,273","3,323,576","4,037,692"
New Cairo,357,Villa,4,3,5,Semi-Furnished,10,Swimming Pool,Hospital,"4,458,897","5,063,082","5,961,925"
Maadi,95,Apartment,2,2,7,Unfurnished,12,None,Metro Station,"1,091,431","1,334,789","1,555,857"
Sheikh Zayed,143,Villa,1,1,0,Furnished,15,Garden,Mall,"1,876,792","2,537,311","3,079,266"
Maadi,322,Apartment,4,2,21,Furnished,12,Swimming Pool,Hospital,"4,346,743","5,281,945","6,390,785"
Maadi,369,Villa,4,2,16,Furnished,1,Gym,Metro Station,"4,789,929","6,090,691","7,113,535"
Maadi,231,Apartment,1,1,16,Semi-Furnished,15,Gym,Mall,"2,986,435","3,811,679","4,652,208"
Maadi,232,Apartment,4,3,23,Unfurnished,5,Swimming Pool,Hospital,"2,358,890","2,725,326","3,258,175"
Nasr City,106,Apartment,2,1,14,Unfurnished,13,Garden,Metro Station,"1,325,797","1,602,451","1,949,825"
New Cairo,200,Apartment,4,2,6,Unfurnished,0,Garden,Metro Station,"2,263,798","2,717,357","3,352,504"
6th of October,177,Apartment,3,2,18,Furnished,16,None,School,"1,637,946","1,814,614","2,117,605"
Maadi,336,Villa,5,3,21,Unfurnished,10,None,School,"3,006,090","3,328,516","3,834,166"
Sheikh Zayed,273,Villa,2,1,24,Furnished,18,Swimming Pool,Hospital,"3,701,373","4,995,036","6,133,457"
Maadi,279,Villa,3,2,22,Unfurnished,2,None,Hospital,"2,895,459","3,422,204","4,144,186"
Sheikh Zayed,85,Apartment,1,2,27,Furnished,10,None,Hospital,"1,036,460","1,301,196","1,587,412"
Nasr City,68,Villa,2,2,2,Unfurnished,4,None,Metro Station,"571,434","679,788","838,733"
Sheikh Zayed,330,Apartment,5,3,29,Semi-Furnished,16,Gym,Hospital,"4,126,122","5,703,141","7,016,467"
6th of October,69,Apartment,5,2,29,Semi-Furnished,6,None,Metro Station,"554,027","652,527","813,108"
New Cairo,180,Apartment,1,2,28,Furnished,9,Swimming Pool,Hospital,"2,946,815","3,621,333","4,358,613"
Sheikh Zayed,184,Villa,1,1,21,Furnished,10,Garden,Metro Station,"2,077,199","2,828,769","3,391,269"
Sheikh Zayed,229,Apartment,2,1,10,Unfurnished,2,None,Metro Station,"2,041,734","2,761,609","3,286,836"
New Cairo,131,Villa,4,2,19,Unfurnished,19,Garden,School,"2,275,842","2,630,488","3,065,490"
6th of October,211,Villa,1,2,29,Semi-Furnished,9,None,Mall,"1,725,276","2,313,238","2,792,681"
Maadi,267,Apartment,4,1,28,Unfurnished,9,Swimming Pool,Metro Station,"2,620,211","3,242,396","3,818,574"
Sheikh Zayed,108,Apartment,3,3,18,Furnished,13,Gym,Hospital,"1,000,241","1,245,191","1,546,690"
New Cairo,213,Villa,5,3,8,Furnished,11,Swimming Pool,School,"3,213,713","3,663,774","4,427,008"
Nasr City,352,Villa,4,3,9,Furnished,14,Gym,Hospital,"4,090,163","4,598,081","5,560,386"
New Cairo,127,Villa,5,3,1,Furnished,9,None,Hospital,"1,644,457","2,168,022","2,570,174"
Nasr City,109,Villa,4,3,0,Furnished,9,None,Metro Station,"913,374","1,140,748","1,317,790"
6th of October,211,Villa,3,3,29,Semi-Furnished,18,Gym,Metro Station,"2,429,768","2,991,179","3,449,351"
Maadi,78,Villa,1,3,15,Semi-Furnished,0,Swimming Pool,Mall,"938,986","1,238,384","1,476,567"
New Cairo,159,Apartment,3,3,17,Furnished,9,Swimming Pool,Metro Station,"2,653,797","3,528,631","4,087,766"
Sheikh Zayed,119,Villa,1,1,22,Unfurnished,1,Gym,Metro Station,"1,411,328","1,619,743","1,960,998"
